CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,BLKADDR,City,State,Latitude,Longitude
15059282,FRAUD/FORGERY,42279,0.5,FRAUD,5,42287.146,2600 REGENT ST,Berkeley,CA,37.863369,-122.257622
15057923,DISTURBANCE,42278,0.416666667,DISORDERLY CONDUCT,4,42287.14598,2300 CALIFORNIA ST,Berkeley,CA,37.865963,-122.279288
15091812,VANDALISM,42278,0.979166667,VANDALISM,4,42287.14598,1800 MILVIA ST,Berkeley,CA,37.874489,-122.271072
15057913,MISSING ADULT,42278,0.399305556,MISSING PERSON,4,42287.14598,3100 SHATTUCK AVE,Berkeley,CA,37.852956,-122.266195
15091840,BURGLARY AUTO,42278,0.333333333,BURGLARY - VEHICLE,4,42287.146,2800 BENVENUE AVE,Berkeley,CA,37.859918,-122.254574
15058014,VANDALISM,42278,0.739583333,VANDALISM,4,42287.14598,2300 BLAKE ST,Berkeley,CA,37.863646,-122.262822
15058818,SEXUAL ASSAULT MISD.,42278,0.975694444,SEX CRIME,4,42287.14598,SHATTUCK AVENUE & HASTE ST,Berkeley,CA,37.86487,-122.267543
15057894,DISTURBANCE,42278,0.270833333,DISORDERLY CONDUCT,4,42287.14598,2100 UNIVERSITY AVE,Berkeley,CA,37.872175,-122.267835
15091818,BURGLARY AUTO,42278,0.958333333,BURGLARY - VEHICLE,4,42287.14598,900 GRAYSON ST,Berkeley,CA,37.855294,-122.292475
15091814,THEFT MISD. (UNDER $950),42278,0.645833333,LARCENY,4,42287.14598,2500 DANA ST,Berkeley,CA,37.864679,-122.260688
15091808,BURGLARY AUTO,42278,0.319444444,BURGLARY - VEHICLE,4,42287.14598,200 UNIVERSITY AVE,Berkeley,CA,37.865511,-122.309965
15057874,DISTURBANCE,42278,0.004861111,DISORDERLY CONDUCT,4,42287.14598,2100 KITTREDGE ST,Berkeley,CA,37.868512,-122.26781
15091822,BURGLARY AUTO,42278,0.559027778,BURGLARY - VEHICLE,4,42287.14598,1400 CARLETON ST,Berkeley,CA,37.859412,-122.281871
15058022,THEFT MISD. (UNDER $950),42278,0.763888889,LARCENY,4,42287.14598,600 SAN LUIS RD,Berkeley,CA,37.899769,-122.275236
15058005,NARCOTICS,42278,0.715277778,DRUG VIOLATION,4,42287.14598,SHATTUCK AVENUE & KITTREDGE ST,Berkeley,CA,37.868489,-122.26795
15058035,THEFT MISD. (UNDER $950),42278,0.708333333,LARCENY,4,42287.14598,2800 PARK ST,Berkeley,CA,37.855593,-122.283039
15057949,THEFT MISD. (UNDER $950),42278,0.534722222,LARCENY,4,42287.14598,2100 SHATTUCK AVE,Berkeley,CA,37.871167,-122.268285
15057916,DISTURBANCE,42278,0.427083333,DISORDERLY CONDUCT,4,42287.14598,1500 BONITA AVE,Berkeley,CA,37.879787,-122.272745
15058065,ASSAULT/BATTERY FEL.,42278,0.960416667,ASSAULT,4,42287.14598,2200 BONAR ST,Berkeley,CA,37.86695,-122.286984
15057951,BURGLARY AUTO,42278,0.541666667,BURGLARY - VEHICLE,4,42287.14598,1000 GILMAN ST,Berkeley,CA,37.880139,-122.2975
15058073,BURGLARY AUTO,42278,0.958333333,BURGLARY - VEHICLE,4,42287.14598,1000 GILMAN ST,Berkeley,CA,37.880139,-122.2975
15091806,BURGLARY AUTO,42278,0.371527778,BURGLARY - VEHICLE,4,42287.14598,1000 PAGE ST,Berkeley,CA,37.877148,-122.296932
15091805,BURGLARY AUTO,42278,0.111111111,BURGLARY - VEHICLE,4,42287.14598,800 SAN DIEGO RD,Berkeley,CA,37.894536,-122.272056
15091825,THEFT MISD. (UNDER $950),42278,0.916666667,LARCENY,4,42287.146,2700 ELLSWORTH ST,Berkeley,CA,37.86097,-122.262273
15057696,BURGLARY AUTO,42277,0.38125,BURGLARY - VEHICLE,3,42287.14598,800 REGAL RD,Berkeley,CA,37.894836,-122.268516
15057694,BURGLARY AUTO,42277,0.378472222,BURGLARY - VEHICLE,3,42287.14598,800 CRAGMONT AVE,Berkeley,CA,37.895557,-122.267691
15057811,BURGLARY RESIDENTIAL,42277,0.5,BURGLARY - RESIDENTIAL,3,42287.14598,2307 STUART AVE,Berkeley,CA,37.859228,-122.26165
