Time	Category	Latitude	Longitude
0.270833333	DISORDERLY CONDUCT	37.866375	-122.27016
0.533333333	LIQUOR LAW VIOLATION	37.849376	-122.294952
0.645833333	BURGLARY - RESIDENTIAL	37.870972	-122.288185
0.027083333	FAMILY OFFENSE	37.854612	-122.281178
0.4375	DISORDERLY CONDUCT	37.871167	-122.268285
0.916666667	BURGLARY - VEHICLE	37.891199	-122.282401
0.947222222	WEAPONS OFFENSE	37.85811	-122.277788
0.340277778	LARCENY	37.880227	-122.26936
0.879166667	WEAPONS OFFENSE	37.851503	-122.278518
0.927777778	FAMILY OFFENSE	37.860334	-122.280567
0.833333333	ASSAULT	37.851918	-122.286667
0.958333333	BURGLARY - VEHICLE	37.86316	-122.26655
0.791666667	BURGLARY - VEHICLE	37.880229	-122.295798
0.805555556	LIQUOR LAW VIOLATION	37.880493	-122.295747
0.708333333	LARCENY	37.854926	-122.257624
0.69375	ARSON	37.871901	-122.268389
0.75	LARCENY - FROM VEHICLE	37.871368	-122.292954
0.791666667	VANDALISM	37.850399	-122.270893
0.951388889	ROBBERY	37.876428	-122.291736
0.760416667	BURGLARY - VEHICLE	37.863045	-122.317348
0.8125	BURGLARY - RESIDENTIAL	37.863369	-122.257622
0.381944444	DISORDERLY CONDUCT	37.866842	-122.27366
0.8125	BURGLARY - VEHICLE	37.880139	-122.2975
0.622222222	DRUG VIOLATION	37.8549	-122.27945
0.833333333	LARCENY	37.869363	-122.268028
0.833333333	BURGLARY - VEHICLE	37.867117	-122.283641
0.118055556	LARCENY	37.877482	-122.256109
0	FRAUD	37.85948	-122.266689
0.770138889	DRUG VIOLATION	37.869084	-122.299245
0.284722222	DISORDERLY CONDUCT	37.868714	-122.259189
0.833333333	DRUG VIOLATION	37.864692	-122.294325
0.8125	BURGLARY - VEHICLE	37.851174	-122.292884
0.208333333	LARCENY	37.88192	-122.269544
0.375	DISORDERLY CONDUCT	37.862927	-122.258784
0.722222222	LARCENY	37.867212	-122.281739
0.697916667	BURGLARY - RESIDENTIAL	37.868714	-122.259189
0.538194444	LARCENY	37.886304	-122.27539
0.333333333	LARCENY	37.884692	-122.251744
0.604166667	LARCENY	37.873642	-122.277854
0.203472222	LARCENY	37.871822	-122.270562
0.291666667	DISORDERLY CONDUCT	37.861265	-122.26698
0.475694444	LARCENY	37.880139	-122.2975
0.493055556	FAMILY OFFENSE	37.872992	-122.295801
0.625	LARCENY	37.871167	-122.268285
0.541666667	FRAUD	37.868636	-122.294175
0.979166667	LARCENY	37.867852	-122.258699
0.8125	VANDALISM	37.851174	-122.292884
0.125	LARCENY	37.867566	-122.265948
0.770833333	BURGLARY - VEHICLE	37.851174	-122.292884
0.84375	FRAUD	37.877663	-122.274831
0.708333333	LARCENY	37.867513	-122.26127
0.083333333	LARCENY	37.86331	-122.316113
0.326388889	ROBBERY	37.864384	-122.290696
0.935416667	NOISE VIOLATION	37.867491	-122.254053
0.386111111	FAMILY OFFENSE	37.857712	-122.281125
0.5	LARCENY	37.863353	-122.265053
0.364583333	FRAUD	37.89005	-122.271605
0.75	LARCENY	37.865795	-122.28044
0.319444444	LARCENY	37.882992	-122.290316
0.309027778	DISORDERLY CONDUCT	37.876307	-122.268923
0.166666667	MOTOR VEHICLE THEFT	37.878722	-122.295312
0.333333333	DISORDERLY CONDUCT	37.848797	-122.271011
0.8125	BURGLARY - VEHICLE	37.861078	-122.289632
0.770833333	NOISE VIOLATION	37.868706	-122.266279
0.791666667	BURGLARY - VEHICLE	37.870287	-122.316238
0.5	FRAUD	37.874351	-122.272197
0.745833333	LIQUOR LAW VIOLATION	37.847889	-122.277816
0.729166667	LARCENY	37.864827	-122.258577
0.833333333	LARCENY	37.856111	-122.260248
0.583333333	LARCENY	37.855435	-122.259841
0.600694444	ASSAULT	37.866976	-122.30251
0.375	DRUG VIOLATION	37.868204	-122.270054
0.616666667	LARCENY	37.87304	-122.289659
0.475	LARCENY	37.853552	-122.291561
0.791666667	BURGLARY - VEHICLE	37.880139	-122.2975
0.263888889	BURGLARY - RESIDENTIAL	37.875738	-122.275607
0.179166667	BURGLARY - COMMERCIAL	37.858483	-122.253191
0.666666667	LARCENY	37.871822	-122.270562
0.89375	ARSON	37.871167	-122.268285
0.645833333	LARCENY	37.869041	-122.292204
0.669444444	ROBBERY	37.853951	-122.273198
0.064583333	LARCENY	37.874211	-122.302012
0.708333333	MISSING PERSON	37.871145	-122.295222
0.8125	BURGLARY - VEHICLE	37.858483	-122.253191
0.386111111	LARCENY	37.859852	-122.24929
0.654861111	ASSAULT	37.862733	-122.269741
0.875	BURGLARY - VEHICLE	37.852683	-122.276556
0.475694444	LARCENY	37.856853	-122.26482
0.120138889	BURGLARY - RESIDENTIAL	37.867717	-122.249901
0.402777778	LARCENY	37.867157	-122.2678
0.275694444	LARCENY	37.877663	-122.274831
